https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011293.pub3/full| Allergy & intolerance | Sublingual immunotherapy for asthma | Rebecca Fortescue, Kayleigh M Kew, Marco Shiu Tsun Leung | 14 September 2020

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007263.pub3/full | Allergy & intolerance | Dilute versus full‐strength formula in exclusively formula‐fed preterm or low birth weight infants | Fauziah Basuki, Diah R Hadiati, Tari Turner, Steve McDonald, Mohammad Hakimi | 27 June 2019

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006135.pub3/full | Allergy & intolerance | Probiotics for treating eczema | Areti Makrgeorgou, Jo Leonardi‐Bee, Fiona J Bath‐Hextall, Dedee F Murrell, Mimi LK Tang, Amanda Roberts, Robert J Boyle | 21 November 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003664.pub6/full | Allergy & intolerance | Infant formulas containing hydrolysed protein for prevention of allergic disease | David A Osborn, John KH Sinn, Lisa J Jones | 19 October 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008263.pub3/full | Allergy & intolerance | Topical and systemic antifungal therapy for the symptomatic treatment of chronic rhinosinusitis | Peta‐Lee Sacks, Richard J Harvey, Janet Rimmer, Richard M Gallagher, Raymond Sacks | 5 September 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012597.pub2/full | Allergy & intolerance | Saline irrigation for allergic rhinitis | Karen Head, Kornkiat Snidvongs, Simon Glew, Glenis Scadding, Anne GM Schilder, Carl Philpott, Claire Hopkins | 22 June 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004414.pub3/full | Allergy & intolerance | Interventions for preventing occupational irritant hand dermatitis | Andrea Bauer, Henriette Rönsch, Peter Elsner, Daan Dittmar, Cathy Bennett, Marie‐Louise A Schuttelaar, Judit Lukács, Swen Malte John, Hywel C Williams | 30 April 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010638.pub3/full | Allergy & intolerance | Oral and sublingual immunotherapy for egg allergy | Olga Romantsik, Maria Angela Tosca, Simona Zappettini, Maria Grazia Calevo | 20 April 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010288.pub4/full | Allergy & intolerance | Anti‐IgE therapy for allergic bronchopulmonary aspergillosis in people with cystic fibrosis | Kana R Jat, Dinesh K Walia, Anju Khairwa | 18 March 2018

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD002204.pub4/full | Allergy & intolerance | Antifungal therapies for allergic bronchopulmonary aspergillosis in people with cystic fibrosis | Heather E Elphick, Kevin W Southern | 8 November 2016

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010112.pub2/full | Allergy & intolerance | Polyunsaturated fatty acid supplementation in infancy for the prevention of allergy | Tim Schindler, John KH Sinn, David A Osborn | 28 October 2016

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008774.pub2/full | Allergy & intolerance | Specific allergen immunotherapy for the treatment of atopic eczema | Herman Tam, Moises A Calderon, Logan Manikam, Helen Nankervis, Ignacio García Núñez, Hywel C Williams, Stephen Durham, Robert J Boyle | 12 February 2016

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009745.pub2/full | Allergy & intolerance | Leukoreduction for the prevention of adverse reactions from allogeneic blood transfusion | Daniel Simancas‐Racines, Dimelza Osorio, Arturo J Martí‐Carvajal, Ingrid Arevalo‐Rodriguez | 3 December 2015

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010522.pub2/full | Allergy & intolerance | Immunotherapy (oral and sublingual) for food allergy to fruits | Juan Jose Yepes‐Nuñez, Yuan Zhang, Marta Roqué i Figuls, Joan Bartra Tomas, Juan M Reyes Sanchez, Fernando Pineda de la Losa, Ernesto Enrique | 9 November 2015

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010464.pub2/full | Allergy & intolerance | Glycerin laxatives for prevention or treatment of feeding intolerance in very low birth weight infants | Jasim Anabrees, Vibhuti S Shah, Ahlam AlOsaimi, Khalid AlFaleh | 30 September 2015

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010085.pub2/full | Allergy & intolerance | Maternal prenatal and/or postnatal n‐3 long chain polyunsaturated fatty acids (LCPUFA) supplementation for preventing allergies in early childhood | Anoja W Gunaratne, Maria Makrides, Carmel T Collins | 22 July 2015

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009566.pub2/full | Allergy & intolerance | Topical antihistamines and mast cell stabilisers for treating seasonal and perennial allergic conjunctivitis | Mayret Castillo, Neil W Scott, Mohammad Z Mustafa, Mohammed S Mustafa, Augusto Azuara‐Blanco | 1 June 2015

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008426.pub2/full | Allergy & intolerance | House dust mite reduction and avoidance measures for treating eczema | Helen Nankervis, Emma V Pynn, Robert J Boyle, Lesley Rushton, Hywel C Williams, Deanne M Hewson, Thomas Platts‐Mills | 19 January 2015

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006137.pub2/full | Allergy & intolerance | H1‐antihistamines for chronic spontaneous urticaria | Maulina Sharma, Cathy Bennett, Stuart N Cohen, Ben Carter | 14 November 2014

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003559.pub4/full | Allergy & intolerance | Omalizumab for asthma in adults and children | Rebecca Normansell, Samantha Walker, Stephen J Milan, E. Haydn Walters, Parameswaran Nair | 13 January 2014

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003563.pub2/full | Allergy & intolerance | Dehumidifiers for chronic asthma | Meenu Singh, Nishant Jaiswal | 13 June 2013

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004591.pub3/full | Allergy & intolerance | Lactase treated feeds to promote growth and feeding tolerance in preterm infants | Cherrie Rose Y Tan‐Dy, Arne Ohlsson | 28 March 2013

